Longitude,Latitude,Month,pr_ab,x,y
-117.99184500000001,34.158548999999965,4,1,185136.59474839477,-426618.0969093074
-117.81017600000001,34.093881999999994,4,1,202047.8730021039,-433419.40486274567
-117.656891,34.083661000000006,4,1,216216.20275013093,-434214.78543297946
-117.64667,34.07634800000001,4,1,217179.31713775094,-435002.4132273807
-117.62375,34.02466600000004,4,1,219437.7726756724,-440680.8227889072
-117.58922699999998,34.021744000000005,4,1,222633.4011117753,-440924.35487152403
-116.990056,33.923611000000015,4,1,278295.22844796185,-450221.9435964343
-120.05184800000002,36.723827000000014,4,1,-4624.630535381757,-143677.98903030436
-119.92394,36.82890500000003,4,1,6774.7301599681305,-131997.38007954834
-119.911159,36.817331,4,1,7914.352432703959,-133282.82030863408
-119.911152,36.84027200000003,4,1,7912.599298046936,-130732.93892437033
-119.882922,36.79096799999996,4,1,10433.453318472044,-136210.26566688903
-119.88284699999998,36.842060999999966,4,1,10433.146046491209,-130531.32950678281
-119.849473,36.801704999999984,4,1,13412.405042647735,-135012.62507479824
-119.846557,36.791421999999955,4,1,13674.075558772087,-136155.13843857264
-119.84026099999998,36.83100099999995,4,1,14227.75228379308,-131755.0658797631
-119.805365,36.81814800000002,4,1,17338.830071650784,-133177.81655172398
-119.3545705,36.31856599999997,4,1,57874.82692675693,-188521.7025717185
-119.2996454,36.34632560000004,4,1,62777.025844040014,-185401.97261856217
-119.271955,35.49294499999995,4,1,65987.00737761849,-280192.77725531533
-119.15726399999998,35.39016099999998,4,1,76483.35397974194,-291522.2331603579
-119.12459399999999,35.31802399999999,4,1,79522.24069463083,-299506.65304668434
-119.08986400000002,36.42099699999999,4,1,81500.85590132322,-176944.37288474897
-119.08805699999999,35.23022299999995,4,1,82934.9611667406,-309225.62345438683
-119.06720800000001,35.407933000000014,4,1,84636.8193617846,-289471.9098021593
-119.0081,35.325919999999954,4,1,90095.0815402273,-298525.51895576995
-118.92759499999998,35.399729999999984,4,1,97314.40659293775,-290248.90068875253
-117.96672300000002,33.86685500000002,4,1,188146.1888828108,-458917.02263200376
-117.901314,34.13031,4,1,193550.8412560593,-429569.4091026718
-117.89665000000001,33.751474000000016,4,1,194913.05989220797,-471567.99555442296
-116.03957800000002,33.39818299999999,4,1,368563.03755152243,-505199.3641916923
-115.36638799999999,32.81664899999999,4,1,434312.5704134495,-566717.4636626346
-119.2869457,36.434091489999986,4,1,63842.013132347034,-175640.351485678
-119.16255900000002,36.30465400000002,4,1,75105.52396105607,-189932.90576656535
-119.11113000000002,35.379589999999986,4,1,80681.18402630268,-292657.9839150617
-119.083701,35.41271099999998,4,1,83135.24501214958,-288955.8613386643
-118.994381,35.364563000000025,4,1,91295.62751008252,-294220.9067402226
-118.962127,35.36006099999997,4,1,94229.18276452726,-294689.3075716025
-117.693877,34.019918000000004,4,1,212975.9183922955,-441367.2518186532
-118.03099399999999,34.08971599999996,4,1,181686.48481275403,-434328.2326148548
-120.45587400000001,36.86363399999999,4,1,-40586.49699043019,-128042.2835690761
-120.44416700000001,36.852781,4,1,-39549.88364803787,-129253.5222871895
-119.385889,36.53838300000004,4,1,54908.356878905135,-164111.5647101896
-119.340547,36.30554499999995,4,1,59142.340651934115,-189959.97880861862
-119.285667,34.44093699999999,4,1,65624.48878115874,-396998.3397466587
-119.03551519999999,36.37358600000006,4,1,86421.11170372656,-182164.7554752389
-118.666025,34.15392199999995,4,1,122994.86975186404,-428226.84619021136
-117.986823,34.05153900000001,4,1,185851.61402818494,-438476.70839975355
-117.90006,33.91668,4,1,194191.35880736655,-453257.8842349914
-117.71714299999998,33.978122000000035,4,1,210939.29999234347,-446053.9958583219
-117.368166,34.078707,4,1,242867.80709253167,-434065.0773569853
-117.18070399999999,34.02570499999998,4,1,260336.83918293047,-439444.61729846103
-119.39277800000002,36.322778,4,1,54445.856205214455,-188076.2953057848
-119.3446805,36.34886790000003,4,1,58738.36599488723,-185148.3370367312
-117.60440300000002,34.113442,4,1,220975.16673106112,-430791.06450407766
-117.45061500000001,33.91711500000001,4,1,235743.16504500344,-452190.6254963395
-117.02498650000001,32.615667600000045,4,1,279614.4323549042,-595202.4933060319
-116.967006,32.84939840000003,4,1,284234.0835837721,-569158.9326205789
-121.97672100000001,38.52262700000002,4,1,-172130.96336480224,58072.3681920087
-119.884053,36.797692999999995,4,1,10331.75244178674,-135462.92016376508
-119.843391,36.789449999999995,4,1,13956.576228169968,-136373.85640529823
-119.82706800000001,36.69297600000002,4,1,15430.785788540456,-147093.90364671685
-119.817434,36.70807600000001,4,1,16287.203563855635,-145414.0226125205
-119.80319200000001,36.77480099999998,4,1,17542.39384654382,-137995.32274978468
-119.51854400000002,36.717978000000016,4,1,42946.26892394793,-144219.99608989432
-119.508303,36.727057,4,1,43854.53075112272,-143206.23579542106
-119.4848496,36.454586299999946,4,1,46110.8625646006,-173477.58797260886
-119.40843210000001,36.54981199999999,4,1,52884.85746315537,-162854.2187921726
-119.38602600000002,36.55288499999998,4,1,54885.66948714688,-162499.96090670163
-119.37301999999998,36.53449599999998,4,1,56061.82656928715,-164536.0122190076
-119.35886,36.34921300000002,4,1,57467.171020229165,-185118.68276171526
-119.34105200000002,36.36378400000001,4,1,59052.076177717994,-183488.52308713365
